"N-mice";"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;
"[reporter]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
;"5";"7";"9";"5";"6";"9";"5";"6";"9";"5";"7";"9";"5";"7";"9";"5";"7";"9";"5";"5";"9";"5";"6";"9";"5";"6";"9";"5";"7";"9";"5";"8";"9";"5";"8";"9";"5";"6";"9";"5";"5";"9";"5";"6";"9";"5";"5";"9";"5";"7";"9";"5";"7";"9";"5";"6";"9";"5";"5";"9";"5";"7";"9";"5";"7";"9";"5";"7";"9";"5";"8";"9";"5";"10";"9";"5";"8";"9";"5";"7";"9";"5";"8";"9";"5";"6";"9";"5";"9";"9"
;"5";"7";"10";"5";"6";"10";"5";"6";"10";"5";"7";"10";"5";"6";"10";"5";"7";"10";"5";"5";"10";"5";"6";"10";"5";"6";"10";"5";"7";"10";"5";"7";"10";"5";"8";"10";"5";"6";"10";"5";"4";"10";"5";"6";"10";"5";"5";"10";"5";"7";"10";"5";"7";"10";"5";"6";"10";"5";"5";"10";"5";"7";"10";"5";"7";"10";"5";"7";"10";"5";"8";"10";"5";"10";"10";"5";"7";"10";"5";"7";"10";"5";"7";"10";"5";"6";"10";"5";"9";"10"
;"5";"7";"11";"5";"6";"11";"5";"6";"11";"5";"7";"11";"5";"6";"11";"5";"7";"11";"5";"5";"11";"5";"5";"11";"5";"6";"11";"5";"6";"11";"5";"7";"11";"5";"8";"11";"5";"5";"11";"5";"4";"11";"5";"6";"11";"5";"4";"11";"5";"6";"11";"5";"6";"11";"5";"6";"11";"5";"5";"11";"5";"7";"11";"5";"6";"11";"5";"7";"11";"5";"8";"11";"5";"10";"11";"5";"6";"11";"5";"7";"11";"5";"6";"11";"5";"6";"11";"5";"9";"11"
;"5";"7";"12";"5";"6";"12";"5";"6";"12";"5";"6";"12";"5";"6";"12";"5";"7";"12";"5";"4";"12";"5";"5";"12";"5";"6";"12";"5";"5";"12";"5";"6";"12";"5";"8";"12";"5";"5";"12";"5";"4";"12";"5";"6";"12";"5";"4";"12";"5";"6";"12";"5";"6";"12";"5";"5";"12";"5";"5";"12";"5";"7";"12";"5";"6";"12";"5";"7";"12";"5";"8";"12";"5";"10";"12";"5";"6";"12";"5";"7";"12";"5";"6";"12";"5";"6";"12";"5";"8";"12"
;"5";"7";"13";"5";"6";"13";"5";"6";"13";"5";"5";"13";"5";"5";"13";"5";"7";"13";"5";"4";"13";"5";"5";"13";"5";"6";"13";"5";"5";"13";"5";"6";"13";"5";"8";"13";"5";"5";"13";"5";"4";"13";"5";"6";"13";"5";"4";"13";"5";"6";"13";"5";"6";"13";"5";"5";"13";"5";"5";"13";"5";"7";"13";"5";"4";"13";"5";"5";"13";"5";"8";"13";"5";"9";"13";"5";"5";"13";"5";"7";"13";"5";"6";"13";"5";"5";"13";"5";"8";"13"
;"5";"7";"14";"5";"6";"14";"5";"6";"14";"5";"5";"14";"5";"5";"14";"5";"7";"14";"5";"4";"14";"5";"5";"14";"5";"5";"14";"5";"5";"14";"5";"5";"14";"5";"8";"14";"5";"5";"14";"5";"4";"14";"5";"6";"14";"5";"4";"14";"5";"6";"14";"5";"5";"14";"5";"4";"14";"5";"5";"14";"5";"7";"14";"5";"3";"14";"5";"5";"14";"5";"8";"14";"5";"9";"14";"5";"5";"14";"5";"6";"14";"5";"6";"14";"5";"5";"14";"5";"8";"14"
;"5";"7";"15";"5";"5";"15";"5";"6";"15";"5";"5";"15";"5";"5";"15";"5";"6";"15";"5";"4";"15";"5";"5";"15";"5";"5";"15";"5";"5";"15";"5";"4";"15";"5";"8";"15";"5";"5";"15";"5";"4";"15";"5";"6";"15";"5";"4";"15";"5";"6";"15";"5";"5";"15";"5";"4";"15";"5";"4";"15";"5";"7";"15";"5";"3";"15";"5";"4";"15";"5";"7";"15";"5";"9";"15";"5";"5";"15";"5";"6";"15";"5";"5";"15";"5";"4";"15";"5";"8";"15"
;"5";"7";"16";"5";"5";"16";"5";"6";"16";"5";"5";"16";"5";"5";"16";"5";"6";"16";"5";"4";"16";"5";"5";"16";"5";"5";"16";"5";"5";"16";"5";"4";"16";"5";"8";"16";"5";"4";"16";"5";"4";"16";"5";"6";"16";"5";"3";"16";"5";"6";"16";"5";"5";"16";"5";"3";"16";"5";"4";"16";"5";"6";"16";"5";"3";"16";"5";"4";"16";"5";"6";"16";"5";"8";"16";"5";"5";"16";"5";"5";"16";"5";"5";"16";"5";"3";"16";"5";"7";"16"
;"5";"7";"17";"5";"5";"17";"5";"6";"17";"5";"5";"17";"5";"5";"17";"5";"6";"17";"5";"4";"17";"5";"5";"17";"5";"5";"17";"5";"5";"17";"5";"3";"17";"5";"8";"17";"5";"4";"17";"5";"4";"17";"5";"6";"17";"5";"3";"17";"5";"6";"17";"5";"5";"17";"5";"3";"17";"5";"4";"17";"5";"6";"17";"5";"3";"17";"5";"4";"17";"5";"5";"17";"5";"8";"17";"5";"5";"17";"5";"5";"17";"5";"5";"17";"5";"3";"17";"5";"7";"17"
;"5";"7";"18";"5";"5";"18";"5";"5";"18";"5";"5";"18";"5";"5";"18";"5";"6";"18";"5";"4";"18";"5";"5";"18";"5";"5";"18";"5";"5";"18";"5";"3";"18";"5";"7";"18";"5";"3";"18";"5";"4";"18";"5";"6";"18";"5";"3";"18";"5";"6";"18";"5";"5";"18";"5";"3";"18";"5";"4";"18";"5";"6";"18";"5";"3";"18";"5";"4";"18";"5";"5";"18";"5";"8";"18";"5";"4";"18";"5";"5";"18";"5";"5";"18";"5";"3";"18";"5";"6";"18"
;"5";"7";"19";"5";"5";"19";"5";"5";"19";"5";"5";"19";"5";"5";"19";"5";"6";"19";"5";"4";"19";"5";"5";"19";"5";"5";"19";"5";"5";"19";"5";"3";"19";"5";"7";"19";"5";"2";"19";"5";"4";"19";"5";"6";"19";"5";"3";"19";"5";"5";"19";"5";"5";"19";"5";"3";"19";"5";"4";"19";"5";"6";"19";"5";"3";"19";"5";"4";"19";"5";"5";"19";"5";"8";"19";"5";"3";"19";"5";"4";"19";"5";"5";"19";"5";"3";"19";"5";"6";"19"
